,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
2,51,31,0.622,9.0,98.1,96.0,2.46,2003,Minnesota Timberwolves*
3,47,35,0.573,13.0,94.7,92.3,2.76,2003,Utah Jazz*
4,43,39,0.524,17.0,93.8,92.3,1.89,2003,Houston Rockets
5,28,54,0.341,32.0,97.5,100.7,-2.6,2003,Memphis Grizzlies
6,17,65,0.207,43.0,84.2,92.4,-7.41,2003,Denver Nuggets
7,59,23,0.72,—,101.7,95.2,6.68,2003,Sacramento Kings*
8,50,32,0.61,9.0,100.4,98.0,2.71,2003,Los Angeles Lakers*
9,50,32,0.61,9.0,95.2,92.5,2.97,2003,Portland Trail Blazers*
10,44,38,0.537,15.0,95.5,94.4,1.57,2003,Phoenix Suns*
11,40,42,0.488,19.0,92.1,92.3,0.37,2003,Seattle SuperSonics
12,38,44,0.463,21.0,102.4,103.6,-0.6,2003,Golden State Warriors
13,27,55,0.329,32.0,93.8,97.9,-3.45,2003,Los Angeles Clippers
0,47,35,0.573,—,90.3,87.8,1.88,2004,New Jersey Nets*
1,42,40,0.512,5.0,90.3,89.7,-0.13,2004,Miami Heat*
2,39,43,0.476,8.0,92.0,93.5,-1.97,2004,New York Knicks*
3,36,46,0.439,11.0,95.3,96.7,-1.99,2004,Boston Celtics*
4,33,49,0.402,14.0,88.0,90.5,-2.95,2004,Philadelphia 76ers
5,25,57,0.305,22.0,91.8,97.4,-6.12,2004,Washington Wizards
6,21,61,0.256,26.0,94.0,101.1,-7.25,2004,Orlando Magic
7,61,21,0.744,—,91.4,85.6,4.93,2004,Indiana Pacers*
8,54,28,0.659,7.0,90.1,84.3,5.04,2004,Detroit Pistons*
9,41,41,0.5,20.0,91.8,91.9,-0.72,2004,New Orleans Hornets*
10,41,41,0.5,20.0,98.0,97.0,0.42,2004,Milwaukee Bucks*
11,35,47,0.427,26.0,92.9,95.5,-3.07,2004,Cleveland Cavaliers
12,33,49,0.402,28.0,85.4,88.5,-3.42,2004,Toronto Raptors
13,28,54,0.341,33.0,92.8,97.5,-5.0,2004,Atlanta Hawks
14,23,59,0.28,38.0,89.7,96.0,-6.69,2004,Chicago Bulls
0,58,24,0.707,—,94.5,89.1,5.86,2004,Minnesota Timberwolves*
1,57,25,0.695,1.0,91.5,84.3,7.51,2004,San Antonio Spurs*
2,52,30,0.634,6.0,105.2,100.8,4.86,2004,Dallas Mavericks*
3,50,32,0.61,8.0,96.7,94.3,2.95,2004,Memphis Grizzlies*
4,45,37,0.549,13.0,89.8,88.0,2.28,2004,Houston Rockets*
5,43,39,0.524,15.0,97.2,96.1,1.65,2004,Denver Nuggets*
6,42,40,0.512,16.0,88.7,89.9,-0.53,2004,Utah Jazz
7,56,26,0.683,—,98.2,94.3,4.35,2004,Los Angeles Lakers*
8,55,27,0.671,1.0,102.8,97.8,5.41,2004,Sacramento Kings*
9,41,41,0.5,15.0,90.7,92.0,-0.58,2004,Portland Trail Blazers
10,37,45,0.451,19.0,93.3,94.0,-0.07,2004,Golden State Warriors
11,37,45,0.451,19.0,97.1,97.8,0.02,2004,Seattle SuperSonics
12,29,53,0.354,27.0,94.2,97.9,-2.94,2004,Phoenix Suns
13,28,54,0.341,28.0,94.8,99.4,-3.74,2004,Los Angeles Clippers
0,45,37,0.549,—,101.3,100.4,0.35,2005,Boston Celtics*
1,43,39,0.524,2.0,99.1,99.9,-1.07,2005,Philadelphia 76ers*
2,42,40,0.512,3.0,91.4,92.9,-1.82,2005,New Jersey Nets*
3,33,49,0.402,12.0,99.7,101.4,-1.81,2005,Toronto Raptors
4,33,49,0.402,12.0,97.3,99.7,-2.72,2005,New York Knicks
5,54,28,0.659,—,93.3,89.5,3.31,2005,Detroit Pistons*
6,47,35,0.573,7.0,94.5,93.4,0.65,2005,Chicago Bulls*
7,44,38,0.537,10.0,93.0,92.2,0.49,2005,Indiana Pacers*
8,42,40,0.512,12.0,96.5,95.7,0.27,2005,Cleveland Cavaliers
9,30,52,0.366,24.0,97.2,100.2,-3.09,2005,Milwaukee Bucks
10,59,23,0.72,—,101.5,95.0,5.77,2005,Miami Heat*
11,45,37,0.549,14.0,100.5,100.8,-0.71,2005,Washington Wizards*
12,36,46,0.439,23.0,99.5,101.8,-2.52,2005,Orlando Magic
13,18,64,0.22,41.0,94.3,100.2,-6.15,2005,Charlotte Bobcats
14,13,69,0.159,46.0,92.7,102.5,-9.62,2005,Atlanta Hawks
0,52,30,0.634,—,98.9,96.6,2.59,2005,Seattle SuperSonics*
1,49,33,0.598,3.0,99.5,97.5,2.23,2005,Denver Nuggets*
2,44,38,0.537,8.0,96.8,95.3,1.73,2005,Minnesota Timberwolves
3,27,55,0.329,25.0,92.9,96.9,-3.45,2005,Portland Trail Blazers
4,26,56,0.317,26.0,93.0,97.3,-3.74,2005,Utah Jazz
5,62,20,0.756,—,110.4,103.3,7.08,2005,Phoenix Suns*
6,50,32,0.61,12.0,103.7,101.6,2.56,2005,Sacramento Kings*
7,37,45,0.451,25.0,95.7,96.5,-0.47,2005,Los Angeles Clippers
8,34,48,0.415,28.0,98.7,101.7,-2.32,2005,Los Angeles Lakers
9,34,48,0.415,28.0,98.7,100.9,-1.74,2005,Golden State Warriors
10,59,23,0.72,—,96.2,88.4,7.84,2005,San Antonio Spurs*
11,58,24,0.707,1.0,102.5,96.8,5.86,2005,Dallas Mavericks*
12,51,31,0.622,8.0,95.1,91.0,4.27,2005,Houston Rockets*
13,45,37,0.549,14.0,93.4,91.1,2.64,2005,Memphis Grizzlies*
14,18,64,0.22,41.0,88.4,95.5,-6.3,2005,New Orleans Hornets
0,49,33,0.598,—,93.8,92.4,1.11,2006,New Jersey Nets*
1,38,44,0.463,11.0,99.4,101.3,-2.1,2006,Philadelphia 76ers
2,33,49,0.402,16.0,98.0,99.5,-1.59,2006,Boston Celtics
3,27,55,0.329,22.0,101.1,104.0,-3.03,2006,Toronto Raptors
4,23,59,0.28,26.0,95.6,102.0,-6.3,2006,New York Knicks
5,64,18,0.78,—,96.8,90.2,6.24,2006,Detroit Pistons*
6,50,32,0.61,14.0,97.6,95.4,2.17,2006,Cleveland Cavaliers*
7,41,41,0.5,23.0,93.9,92.0,1.62,2006,Indiana Pacers*
8,41,41,0.5,23.0,97.8,97.2,0.51,2006,Chicago Bulls*
9,40,42,0.488,24.0,97.8,98.8,-1.07,2006,Milwaukee Bucks*
10,52,30,0.634,—,99.9,96.0,3.59,2006,Miami Heat*
11,42,40,0.512,10.0,101.7,99.8,1.57,2006,Washington Wizards*
12,36,46,0.439,16.0,94.9,96.0,-1.26,2006,Orlando Magic
13,26,56,0.317,26.0,96.9,100.9,-3.9,2006,Charlotte Bobcats
14,26,56,0.317,26.0,97.2,102.0,-4.69,2006,Atlanta Hawks
0,44,38,0.537,—,100.3,100.1,0.36,2006,Denver Nuggets*
1,41,41,0.5,3.0,92.4,95.0,-2.49,2006,Utah Jazz
2,35,47,0.427,9.0,102.6,105.6,-2.88,2006,Seattle SuperSonics
3,33,49,0.402,11.0,91.7,93.6,-1.75,2006,Minnesota Timberwolves
4,21,61,0.256,23.0,88.8,98.3,-8.91,2006,Portland Trail Blazers
5,54,28,0.659,—,108.4,102.8,5.48,2006,Phoenix Suns*
6,47,35,0.573,7.0,97.2,95.6,1.75,2006,Los Angeles Clippers*
7,45,37,0.549,9.0,99.4,96.9,2.53,2006,Los Angeles Lakers*
8,44,38,0.537,10.0,98.9,97.3,1.61,2006,Sacramento Kings*
9,34,48,0.415,20.0,98.5,99.8,-1.11,2006,Golden State Warriors
10,63,19,0.768,—,95.6,88.8,6.69,2006,San Antonio Spurs*
11,60,22,0.732,3.0,99.1,93.1,5.96,2006,Dallas Mavericks*
12,49,33,0.598,14.0,92.2,88.5,3.74,2006,Memphis Grizzlies*
13,38,44,0.463,25.0,92.8,95.6,-2.51,2006,New Orleans/Oklahoma City Hornets
14,34,48,0.415,29.0,90.1,91.7,-1.3,2006,Houston Rockets
0,47,35,0.573,—,99.5,98.5,0.61,2007,Toronto Raptors*
1,41,41,0.5,6.0,97.6,98.3,-1.0,2007,New Jersey Nets*
2,35,47,0.427,12.0,94.9,98.0,-3.26,2007,Philadelphia 76ers
3,33,49,0.402,14.0,97.5,100.3,-3.06,2007,New York Knicks
4,24,58,0.293,23.0,95.8,99.2,-3.7,2007,Boston Celtics
5,53,29,0.646,—,96.0,91.8,3.69,2007,Detroit Pistons*
6,50,32,0.61,3.0,96.8,92.9,3.33,2007,Cleveland Cavaliers*
7,49,33,0.598,4.0,98.8,93.8,4.52,2007,Chicago Bulls*
8,35,47,0.427,18.0,95.6,98.0,-2.62,2007,Indiana Pacers
9,28,54,0.341,25.0,99.7,104.0,-4.43,2007,Milwaukee Bucks
10,44,38,0.537,—,94.6,95.5,-1.21,2007,Miami Heat*
11,41,41,0.5,3.0,104.3,104.9,-0.8,2007,Washington Wizards*
12,40,42,0.488,4.0,94.8,94.0,0.35,2007,Orlando Magic*
13,33,49,0.402,11.0,96.9,100.6,-3.97,2007,Charlotte Bobcats
14,30,52,0.366,14.0,93.7,98.4,-4.86,2007,Atlanta Hawks
0,51,31,0.622,—,101.5,98.6,3.06,2007,Utah Jazz*
1,45,37,0.549,6.0,105.4,103.7,1.69,2007,Denver Nuggets*
2,32,50,0.39,19.0,94.1,98.4,-3.78,2007,Portland Trail Blazers
3,32,50,0.39,19.0,96.1,99.7,-3.16,2007,Minnesota Timberwolves
4,31,51,0.378,20.0,99.1,102.0,-2.45,2007,Seattle SuperSonics
5,61,21,0.744,—,110.2,102.9,7.28,2007,Phoenix Suns*
6,42,40,0.512,19.0,103.3,103.4,0.24,2007,Los Angeles Lakers*
7,42,40,0.512,19.0,106.5,106.9,0.0,2007,Golden State Warriors*
8,40,42,0.488,21.0,95.6,96.1,-0.07,2007,Los Angeles Clippers
9,33,49,0.402,28.0,101.3,103.1,-1.35,2007,Sacramento Kings
10,67,15,0.817,—,100.0,92.8,7.28,2007,Dallas Mavericks*
11,58,24,0.707,9.0,98.5,90.1,8.35,2007,San Antonio Spurs*
12,52,30,0.634,15.0,97.0,92.1,5.04,2007,Houston Rockets*
13,39,43,0.476,28.0,95.5,97.1,-1.19,2007,New Orleans/Oklahoma City Hornets
14,22,60,0.268,45.0,101.6,106.7,-4.44,2007,Memphis Grizzlies
0,66,16,0.805,—,100.5,90.3,9.3,2008,Boston Celtics*
1,41,41,0.5,25.0,100.2,97.3,2.47,2008,Toronto Raptors*
2,40,42,0.488,26.0,96.6,96.2,0.19,2008,Philadelphia 76ers*
3,34,48,0.415,32.0,95.8,100.9,-5.15,2008,New Jersey Nets
4,23,59,0.28,43.0,96.9,103.5,-6.55,2008,New York Knicks
5,59,23,0.72,—,97.5,90.1,6.67,2008,Detroit Pistons*
6,45,37,0.549,14.0,96.4,96.7,-0.53,2008,Cleveland Cavaliers*
7,36,46,0.439,23.0,104.0,105.4,-1.87,2008,Indiana Pacers
8,33,49,0.402,26.0,97.3,100.4,-3.19,2008,Chicago Bulls
9,26,56,0.317,33.0,97.0,103.9,-6.92,2008,Milwaukee Bucks
10,52,30,0.634,—,104.5,99.0,4.79,2008,Orlando Magic*
11,43,39,0.524,9.0,98.8,99.2,-0.61,2008,Washington Wizards*
12,37,45,0.451,15.0,98.2,100.0,-2.23,2008,Atlanta Hawks*
13,32,50,0.39,20.0,97.1,101.4,-4.49,2008,Charlotte Bobcats
14,15,67,0.183,37.0,91.4,100.0,-8.53,2008,Miami Heat
0,54,28,0.659,—,106.2,99.3,6.86,2008,Utah Jazz*
1,50,32,0.61,4.0,110.7,107.0,3.74,2008,Denver Nuggets*
2,41,41,0.5,13.0,95.4,96.3,-0.52,2008,Portland Trail Blazers
3,22,60,0.268,32.0,95.6,102.4,-6.26,2008,Minnesota Timberwolves
4,20,62,0.244,34.0,97.5,106.3,-8.04,2008,Seattle SuperSonics
5,57,25,0.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers*
6,55,27,0.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns*
7,48,34,0.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors
8,38,44,0.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings
9,23,59,0.28,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers
10,56,26,0.683,—,100.9,95.6,5.46,2008,New Orleans Hornets*
11,56,26,0.683,—,95.4,90.6,5.1,2008,San Antonio Spurs*
12,55,27,0.671,1.0,96.7,92.0,4.83,2008,Houston Rockets*
13,51,31,0.622,5.0,100.4,95.9,4.7,2008,Dallas Mavericks*
14,22,60,0.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies
0,62,20,0.756,—,100.9,93.4,7.44,2009,Boston Celtics*
1,41,41,0.5,21.0,97.4,97.3,0.16,2009,Philadelphia 76ers*
2,34,48,0.415,28.0,98.1,100.5,-2.31,2009,New Jersey Nets
3,33,49,0.402,29.0,99.0,101.9,-2.54,2009,Toronto Raptors
4,32,50,0.39,30.0,105.2,107.8,-2.33,2009,New York Knicks
5,66,16,0.805,—,100.3,91.4,8.68,2009,Cleveland Cavaliers*
6,41,41,0.5,25.0,102.2,102.5,-0.16,2009,Chicago Bulls*
7,39,43,0.476,27.0,94.2,94.7,-0.36,2009,Detroit Pistons*
8,36,46,0.439,30.0,105.1,106.2,-0.76,2009,Indiana Pacers
9,34,48,0.415,32.0,99.3,100.4,-0.88,2009,Milwaukee Bucks
10,59,23,0.72,—,101.0,94.4,6.48,2009,Orlando Magic*
11,47,35,0.573,12.0,98.1,96.5,1.7,2009,Atlanta Hawks*
12,43,39,0.524,16.0,98.3,98.0,0.49,2009,Miami Heat*
13,35,47,0.427,24.0,93.6,94.9,-1.2,2009,Charlotte Bobcats
14,19,63,0.232,40.0,96.1,103.5,-6.98,2009,Washington Wizards
0,54,28,0.659,—,104.3,100.9,3.13,2009,Denver Nuggets*
1,54,28,0.659,—,99.4,94.1,5.0,2009,Portland Trail Blazers*
2,48,34,0.585,6.0,103.6,100.9,2.31,2009,Utah Jazz*
3,24,58,0.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves
4,23,59,0.28,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder
5,65,17,0.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers*
6,46,36,0.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns
7,29,53,0.354,36.0,108.6,112.3,-3.8,2009,Golden State Warriors
8,19,63,0.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers
9,17,65,0.207,48.0,100.6,109.3,-8.6,2009,Sacramento Kings
10,54,28,0.659,—,97.0,93.3,3.36,2009,San Antonio Spurs*
11,53,29,0.646,1.0,98.4,94.4,3.73,2009,Houston Rockets*
12,50,32,0.61,4.0,101.7,99.8,1.68,2009,Dallas Mavericks*
13,49,33,0.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets*
14,24,58,0.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
0,50,32,0.61,—,99.2,95.6,3.37,2010,Boston Celtics*
1,40,42,0.488,10.0,104.1,105.9,-1.83,2010,Toronto Raptors
2,29,53,0.354,21.0,102.1,105.9,-4.01,2010,New York Knicks
3,27,55,0.329,23.0,97.7,101.6,-3.93,2010,Philadelphia 76ers
4,12,70,0.146,38.0,92.4,101.5,-8.93,2010,New Jersey Nets
5,61,21,0.744,—,102.1,95.6,6.17,2010,Cleveland Cavaliers*
6,46,36,0.561,15.0,97.7,96.0,1.37,2010,Milwaukee Bucks*
7,41,41,0.5,20.0,97.5,99.1,-1.64,2010,Chicago Bulls*
8,32,50,0.39,29.0,100.8,103.8,-3.11,2010,Indiana Pacers
9,27,55,0.329,34.0,94.0,99.1,-5.02,2010,Detroit Pistons
10,59,23,0.72,—,102.8,95.3,7.12,2010,Orlando Magic*
11,53,29,0.646,6.0,101.7,97.0,4.44,2010,Atlanta Hawks*
12,47,35,0.573,12.0,96.5,94.2,1.99,2010,Miami Heat*
13,44,38,0.537,15.0,95.3,93.8,1.3,2010,Charlotte Bobcats*
14,26,56,0.317,33.0,96.2,101.0,-4.72,2010,Washington Wizards
0,53,29,0.646,—,106.5,102.4,4.15,2010,Denver Nuggets*
1,53,29,0.646,—,104.2,98.9,5.33,2010,Utah Jazz*
2,50,32,0.61,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers*
3,50,32,0.61,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder*
4,15,67,0.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
5,57,25,0.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers*
6,54,28,0.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns*
7,29,53,0.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
8,26,56,0.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
9,25,57,0.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
10,55,27,0.671,—,102.0,99.3,2.66,2010,Dallas Mavericks*
11,50,32,0.61,5.0,101.4,96.3,5.07,2010,San Antonio Spurs*
12,42,40,0.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
13,40,42,0.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
14,37,45,0.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
0,56,26,0.683,—,96.5,91.1,4.83,2011,Boston Celtics*
1,42,40,0.512,14.0,106.5,105.7,0.48,2011,New York Knicks*
2,41,41,0.5,15.0,99.0,97.5,1.01,2011,Philadelphia 76ers*
3,24,58,0.293,32.0,94.2,100.4,-6.28,2011,New Jersey Nets
4,22,60,0.268,34.0,99.1,105.4,-6.28,2011,Toronto Raptors
5,62,20,0.756,—,98.6,91.3,6.53,2011,Chicago Bulls*
6,37,45,0.451,25.0,99.8,100.9,-1.38,2011,Indiana Pacers*
7,35,47,0.427,27.0,91.9,92.7,-1.02,2011,Milwaukee Bucks
8,30,52,0.366,32.0,97.0,100.6,-3.78,2011,Detroit Pistons
9,19,63,0.232,43.0,95.5,104.5,-8.88,2011,Cleveland Cavaliers
10,58,24,0.707,—,102.1,94.6,6.76,2011,Miami Heat*
11,52,30,0.634,6.0,99.2,93.7,4.92,2011,Orlando Magic*
12,44,38,0.537,14.0,95.0,95.8,-1.1,2011,Atlanta Hawks*
13,34,48,0.415,24.0,93.3,97.3,-4.08,2011,Charlotte Bobcats
14,23,59,0.28,35.0,97.3,104.7,-7.3,2011,Washington Wizards
0,55,27,0.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder*
1,50,32,0.61,5.0,107.5,102.7,4.81,2011,Denver Nuggets*
2,48,34,0.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers*
3,39,43,0.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz
4,17,65,0.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves
5,57,25,0.695,—,101.5,95.4,6.01,2011,Los Angeles Lakers*
6,40,42,0.488,17.0,105.0,105.9,-0.46,2011,Phoenix Suns
7,36,46,0.439,21.0,103.4,105.7,-2.0,2011,Golden State Warriors
8,32,50,0.39,25.0,98.6,101.8,-2.71,2011,Los Angeles Clippers
9,24,58,0.293,33.0,99.4,104.7,-4.8,2011,Sacramento Kings
10,61,21,0.744,—,103.7,98.0,5.86,2011,San Antonio Spurs*
11,57,25,0.695,4.0,100.2,96.0,4.41,2011,Dallas Mavericks*
12,46,36,0.561,15.0,94.9,94.0,1.28,2011,New Orleans Hornets*
13,46,36,0.561,15.0,99.9,97.6,2.55,2011,Memphis Grizzlies*
14,43,39,0.524,18.0,105.9,103.7,2.37,2011,Houston Rockets
0,39,27,0.591,—,91.8,89.3,2.26,2012,Boston Celtics*
1,36,30,0.545,3.0,97.8,94.7,2.39,2012,New York Knicks*
2,35,31,0.53,4.0,93.6,89.4,3.59,2012,Philadelphia 76ers*
3,23,43,0.348,16.0,90.7,94.0,-3.67,2012,Toronto Raptors
4,22,44,0.333,17.0,93.1,99.1,-6.37,2012,New Jersey Nets
5,50,16,0.758,—,96.3,88.2,7.43,2012,Chicago Bulls*
6,42,24,0.636,8.0,97.7,94.4,2.6,2012,Indiana Pacers*
7,31,35,0.47,19.0,99.0,98.7,-0.23,2012,Milwaukee Bucks
8,25,41,0.379,25.0,90.9,95.7,-5.19,2012,Detroit Pistons
9,21,45,0.318,29.0,93.0,100.2,-7.34,2012,Cleveland Cavaliers
10,46,20,0.697,—,98.5,92.5,5.72,2012,Miami Heat*
11,40,26,0.606,6.0,96.6,93.2,2.67,2012,Atlanta Hawks*
12,37,29,0.561,9.0,94.2,93.4,0.46,2012,Orlando Magic*
13,20,46,0.303,26.0,93.6,98.4,-5.14,2012,Washington Wizards
14,7,59,0.106,39.0,87.0,100.9,-13.96,2012,Charlotte Bobcats
0,47,19,0.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder*
1,38,28,0.576,9.0,104.1,101.2,3.16,2012,Denver Nuggets*
2,36,30,0.545,11.0,99.7,99.0,0.92,2012,Utah Jazz*
3,28,38,0.424,19.0,97.2,97.8,-0.22,2012,Portland Trail Blazers
4,26,40,0.394,21.0,97.9,100.1,-1.83,2012,Minnesota Timberwolves
5,41,25,0.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers*
6,40,26,0.606,1.0,97.5,95.0,2.82,2012,Los Angeles Clippers*
7,33,33,0.5,8.0,98.4,98.6,0.29,2012,Phoenix Suns
8,23,43,0.348,18.0,97.8,101.2,-2.79,2012,Golden State Warriors
9,22,44,0.333,19.0,98.8,104.4,-4.95,2012,Sacramento Kings
10,50,16,0.758,—,103.7,96.5,7.28,2012,San Antonio Spurs*
11,41,25,0.621,9.0,95.0,93.0,2.43,2012,Memphis Grizzlies*
12,36,30,0.545,14.0,95.8,94.8,1.78,2012,Dallas Mavericks*
13,34,32,0.515,16.0,98.1,97.9,0.57,2012,Houston Rockets
14,21,45,0.318,29.0,89.6,93.4,-3.11,2012,New Orleans Hornets
0,54,28,0.659,—,100.0,95.7,3.73,2013,New York Knicks*
1,49,33,0.598,5.0,96.9,95.1,1.25,2013,Brooklyn Nets*
2,41,40,0.506,12.5,96.5,96.7,-0.62,2013,Boston Celtics*
3,34,48,0.415,20.0,93.2,96.5,-3.51,2013,Philadelphia 76ers
4,34,48,0.415,20.0,97.2,98.7,-1.96,2013,Toronto Raptors
5,49,32,0.605,—,94.7,90.7,3.34,2013,Indiana Pacers*
6,45,37,0.549,4.5,93.2,92.9,-0.02,2013,Chicago Bulls*
7,38,44,0.463,11.5,98.9,100.4,-1.83,2013,Milwaukee Bucks*
8,29,53,0.354,20.5,94.9,98.8,-4.33,2013,Detroit Pistons
9,24,58,0.293,25.5,96.5,101.2,-4.87,2013,Cleveland Cavaliers
10,66,16,0.805,—,102.9,95.0,7.03,2013,Miami Heat*
11,44,38,0.537,22.0,98.0,97.5,-0.08,2013,Atlanta Hawks*
12,29,53,0.354,37.0,93.2,95.8,-2.78,2013,Washington Wizards
13,21,61,0.256,45.0,93.4,102.7,-9.29,2013,Charlotte Bobcats
14,20,62,0.244,46.0,94.1,101.1,-7.12,2013,Orlando Magic
0,60,22,0.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder*
1,57,25,0.695,3.0,106.1,101.1,5.37,2013,Denver Nuggets*
2,43,39,0.524,17.0,98.0,98.1,0.3,2013,Utah Jazz
3,33,49,0.402,27.0,97.5,100.7,-2.53,2013,Portland Trail Blazers
4,31,51,0.378,29.0,95.7,98.1,-1.83,2013,Minnesota Timberwolves
5,56,26,0.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers*
6,47,35,0.573,9.0,101.2,100.3,1.32,2013,Golden State Warriors*
7,45,37,0.549,11.0,102.2,101.0,1.48,2013,Los Angeles Lakers*
8,28,54,0.341,28.0,100.2,105.1,-4.26,2013,Sacramento Kings
9,25,57,0.305,31.0,95.2,101.6,-5.75,2013,Phoenix Suns
10,58,24,0.707,—,103.0,96.6,6.67,2013,San Antonio Spurs*
11,56,26,0.683,2.0,93.4,89.3,4.32,2013,Memphis Grizzlies*
12,45,37,0.549,13.0,106.0,102.5,3.69,2013,Houston Rockets*
13,41,41,0.5,17.0,101.1,101.7,-0.24,2013,Dallas Mavericks
14,27,55,0.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets
0,48,34,0.585,—,101.3,98.0,2.55,2014,Toronto Raptors*
1,44,38,0.537,4.0,98.5,99.5,-1.58,2014,Brooklyn Nets*
2,37,45,0.451,11.0,98.6,99.4,-1.4,2014,New York Knicks
3,25,57,0.305,23.0,96.2,100.7,-4.97,2014,Boston Celtics
4,19,63,0.232,29.0,99.5,109.9,-10.66,2014,Philadelphia 76ers
5,56,26,0.683,—,96.7,92.3,3.63,2014,Indiana Pacers*
6,48,34,0.585,8.0,93.7,91.8,1.2,2014,Chicago Bulls*
7,33,49,0.402,23.0,98.2,101.5,-3.86,2014,Cleveland Cavaliers
8,29,53,0.354,27.0,101.0,104.7,-4.13,2014,Detroit Pistons
9,15,67,0.183,41.0,95.5,103.7,-8.41,2014,Milwaukee Bucks
10,54,28,0.659,—,102.2,97.4,4.15,2014,Miami Heat*
11,44,38,0.537,10.0,100.7,99.4,0.48,2014,Washington Wizards*
12,43,39,0.524,11.0,96.9,97.1,-0.89,2014,Charlotte Bobcats*
13,38,44,0.463,16.0,101.0,101.5,-0.88,2014,Atlanta Hawks*
14,23,59,0.28,31.0,96.5,102.0,-5.88,2014,Orlando Magic
0,59,23,0.72,—,106.2,99.8,6.66,2014,Oklahoma City Thunder*
1,54,28,0.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers*
2,40,42,0.488,19.0,106.9,104.3,3.1,2014,Minnesota Timberwolves
3,36,46,0.439,23.0,104.4,106.5,-1.4,2014,Denver Nuggets
4,25,57,0.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz
5,57,25,0.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers*
6,51,31,0.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors*
7,48,34,0.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns
8,28,54,0.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings
9,27,55,0.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers
10,62,20,0.756,—,105.4,97.6,8.0,2014,San Antonio Spurs*
11,54,28,0.659,8.0,107.7,103.1,5.06,2014,Houston Rockets*
12,50,32,0.61,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies*
13,49,33,0.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks*
14,34,48,0.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans
0,49,33,0.598,—,104.0,100.9,2.45,2015,Toronto Raptors*
1,40,42,0.488,9.0,101.4,101.2,-0.4,2015,Boston Celtics*
2,38,44,0.463,11.0,98.0,100.9,-3.13,2015,Brooklyn Nets*
3,18,64,0.22,31.0,92.0,101.0,-9.04,2015,Philadelphia 76ers
4,17,65,0.207,32.0,91.9,101.2,-9.5,2015,New York Knicks
5,53,29,0.646,—,103.1,98.7,4.08,2015,Cleveland Cavaliers*
6,50,32,0.61,3.0,100.8,97.8,2.54,2015,Chicago Bulls*
7,41,41,0.5,12.0,97.8,97.4,-0.09,2015,Milwaukee Bucks*
8,38,44,0.463,15.0,97.3,97.0,-0.23,2015,Indiana Pacers
9,32,50,0.39,21.0,98.5,99.5,-1.39,2015,Detroit Pistons
10,60,22,0.732,—,102.5,97.1,4.75,2015,Atlanta Hawks*
11,46,36,0.561,14.0,98.5,97.8,0.17,2015,Washington Wizards*
12,37,45,0.451,23.0,94.7,97.3,-2.92,2015,Miami Heat
13,33,49,0.402,27.0,94.2,97.3,-3.44,2015,Charlotte Hornets
